D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind1\models\1st_level_normalized\con_0001.nii,8.72028
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind10\models\1st_level_normalized\con_0001.nii,6.05964
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind11\models\1st_level_normalized\con_0001.nii,2.39222
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind12\models\1st_level_normalized\con_0001.nii,-0.176957
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind13\models\1st_level_normalized\con_0001.nii,9.93479
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind14\models\1st_level_normalized\con_0001.nii,4.41627
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind15\models\1st_level_normalized\con_0001.nii,6.5218
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind16\models\1st_level_normalized\con_0001.nii,0.0875889
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind17\models\1st_level_normalized\con_0001.nii,2.70407
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind18\models\1st_level_normalized\con_0001.nii,7.7084
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind19\models\1st_level_normalized\con_0001.nii,1.54816
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind2\models\1st_level_normalized\con_0001.nii,3.28384
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind20\models\1st_level_normalized\con_0001.nii,8.72856
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind3\models\1st_level_normalized\con_0001.nii,6.83294
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind4\models\1st_level_normalized\con_0001.nii,2.28368
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind5\models\1st_level_normalized\con_0001.nii,2.83221
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind6\models\1st_level_normalized\con_0001.nii,2.74013
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind7\models\1st_level_normalized\con_0001.nii,8.57372
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind8\models\1st_level_normalized\con_0001.nii,4.57458
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind9\models\1st_level_normalized\con_0001.nii,1.02173
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind1\models\1st_level_normalized\con_0002.nii,10.6432
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind10\models\1st_level_normalized\con_0002.nii,9.0062
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind11\models\1st_level_normalized\con_0002.nii,1.87333
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind12\models\1st_level_normalized\con_0002.nii,-1.78388
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind13\models\1st_level_normalized\con_0002.nii,6.78748
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind14\models\1st_level_normalized\con_0002.nii,4.89796
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind15\models\1st_level_normalized\con_0002.nii,3.40647
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind16\models\1st_level_normalized\con_0002.nii,-1.89085
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind17\models\1st_level_normalized\con_0002.nii,6.42583
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind18\models\1st_level_normalized\con_0002.nii,8.50845
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind19\models\1st_level_normalized\con_0002.nii,-0.338862
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind2\models\1st_level_normalized\con_0002.nii,2.16953
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind20\models\1st_level_normalized\con_0002.nii,8.85614
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind3\models\1st_level_normalized\con_0002.nii,2.36274
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind4\models\1st_level_normalized\con_0002.nii,4.1935
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind5\models\1st_level_normalized\con_0002.nii,3.87643
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind6\models\1st_level_normalized\con_0002.nii,3.3828
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind7\models\1st_level_normalized\con_0002.nii,8.26251
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind8\models\1st_level_normalized\con_0002.nii,4.1607
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind9\models\1st_level_normalized\con_0002.nii,6.91116
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind1\models\1st_level_normalized\con_0003.nii,9.91981
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind10\models\1st_level_normalized\con_0003.nii,15.1735
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind11\models\1st_level_normalized\con_0003.nii,5.32108
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind12\models\1st_level_normalized\con_0003.nii,0.6254
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind13\models\1st_level_normalized\con_0003.nii,17.3426
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind14\models\1st_level_normalized\con_0003.nii,8.11759
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind15\models\1st_level_normalized\con_0003.nii,2.72501
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind16\models\1st_level_normalized\con_0003.nii,12.1344
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind17\models\1st_level_normalized\con_0003.nii,8.88129
D:\PRELUDIUM_JM\Prelu_MRI\sub-Blind18\models\1st_level_normalized\con_0003.nii,5.75482
